tt9807162	7	nm3467345	producer	producer	\N
tt9807162	8	nm0885932	composer	\N	\N
tt9807162	9	nm4093936	cinematographer	\N	\N
tt9807170	1	nm5415368	director	\N	\N
tt9807170	2	nm10488142	producer	producer	\N
tt9807170	3	nm4269827	composer	\N	\N
tt9807170	4	nm10488143	editor	\N	\N
tt9807208	1	nm1181287	director	\N	\N
tt9807208	2	nm6931618	writer	\N	\N
tt9807208	3	nm5324822	cinematographer	\N	\N
tt9807208	4	nm3459192	editor	\N	\N
tt9807214	1	nm2686579	writer	\N	\N
tt9807214	2	nm3595089	writer	screenplay	\N
tt9807214	3	nm0275286	producer	producer	\N
tt9807214	4	nm3629374	producer	producer	\N
tt9807404	1	nm4414980	director	\N	\N
tt9807404	2	nm4858469	composer	\N	\N
tt9807404	3	nm4858719	cinematographer	\N	\N
tt9807404	4	nm3550532	editor	\N	\N
tt9807494	1	nm0517665	director	\N	\N
tt9807494	2	nm6257725	writer	\N	\N
tt9807524	10	nm8979310	actress	\N	["Wrestler Girl 1"]
tt9807524	1	nm10488215	actress	\N	["Muay Thai Fighter"]
tt9807524	2	nm10488217	actress	\N	["Footballer"]
tt9807524	3	nm10488218	actress	\N	["Horseback Archer"]
tt9807524	4	nm10488214	actress	\N	["Wrestler"]
tt9807524	5	nm4247084	director	\N	\N
tt9807524	6	nm10488219	producer	producer	\N
tt9807524	7	nm4339260	cinematographer	\N	\N
tt9807524	8	nm9117417	editor	\N	\N
tt9807524	9	nm10488216	actress	\N	["Bodybuilder"]
tt9807856	10	nm5779606	cinematographer	\N	\N
tt9807856	1	nm8523781	actor	\N	["Dharma"]
tt9807856	2	nm5724719	actor	\N	["Chiranjeevi"]
tt9807856	3	nm8402822	actor	\N	["Jayanna"]
tt9807856	4	nm5766615	actress	\N	["Vandana"]
tt9807856	5	nm10488262	director	\N	\N
tt9807856	6	nm4167007	writer	Story	\N
tt9807856	7	nm10490608	producer	producer	\N
tt9807856	8	nm10490609	producer	producer	\N
tt9807856	9	nm10490610	producer	producer	\N
tt9807870	1	nm1181287	director	\N	\N
tt9807870	2	nm3459192	editor	\N	\N
tt9807876	1	nm5286196	director	\N	\N
tt9807876	2	nm9741839	writer	\N	\N
tt9807876	3	nm4904940	producer	producer	\N
tt9807876	4	nm3729277	producer	producer	\N
tt9807876	5	nm7129667	composer	\N	\N
tt9807914	10	nm10508460	actor	\N	["Voisine"]
tt9807914	1	nm10508458	actor	\N	["Voisin"]
tt9807914	2	nm10508471	actor	\N	["Facteur"]
tt9807914	3	nm10508459	actor	\N	["Martial"]
tt9807914	4	nm10508475	actress	\N	["Écolière"]
tt9807914	5	nm4901955	director	\N	\N
tt9807914	6	nm10508473	actor	\N	["Homme à la pelle"]
tt9807914	7	nm10508461	actor	\N	["Voisine 2"]
tt9807914	8	nm10508474	actor	\N	["Écolier"]
tt9807914	9	nm10508462	actor	\N	["Simone"]
tt9808268	10	nm3274607	editor	\N	\N
tt9808268	1	nm1218360	actress	\N	["Maria Barbizan"]
tt9808268	2	nm2690632	actress	\N	["Felicie Arkady"]
tt9808268	3	nm1742459	actor	\N	["Andrew Frisbee, Jr."]
tt9808268	4	nm0853478	actor	\N	["Bofill Pancreas"]
tt9808268	5	nm0199495	director	\N	\N
tt9808268	6	nm0073078	writer	\N	\N
tt9808268	7	nm10211496	producer	line producer	\N
tt9808268	8	nm3657755	composer	\N	\N
tt9808268	9	nm0573983	cinematographer	\N	\N
tt9808490	1	nm9376425	director	\N	\N
tt9808490	2	nm4936485	producer	producer	\N
tt9808490	3	nm9904947	producer	producer	\N
tt9808490	4	nm3435058	producer	producer	\N
tt9808490	5	nm10488560	editor	\N	\N
tt9808510	10	nm12307890	producer	producer	\N
tt9808510	1	nm7917727	actress	\N	["Sunitha"]
tt9808510	2	nm1334389	actor	\N	["Murali"]
tt9808510	3	nm1434372	actor	\N	["Ammavan"]
tt9808510	4	nm1388202	actor	\N	["Dr. Subrahmanyam"]
tt9808510	5	nm8904180	director	\N	\N
tt9808510	6	nm10260663	writer	co-writer	\N
tt9808510	7	nm9925241	writer	co-writer	\N
tt9808510	8	nm12307896	producer	producer	\N
tt9808510	9	nm9831720	producer	producer	\N
tt9808564	10	nm2065631	composer	\N	\N
tt9808564	1	nm1431772	actor	\N	["Happy Singh"]
tt9808564	2	nm1388202	actor	\N	["Joysy Kochara"]
tt9808564	3	nm0412917	actor	\N	["Inderpal Singh"]
tt9808564	4	nm5465692	actor	\N	["Sharaf"]
tt9808564	5	nm1833175	director	\N	\N
tt9808564	6	nm11011795	director	\N	\N
tt9808564	7	nm7507995	producer	producer	\N
tt9808564	8	nm11011796	producer	producer	\N
tt9808564	9	nm11011797	producer	producer	\N
tt9808642	1	nm0235427	actor	\N	\N
